condition,order_scope,axis_value,display_value,runs,event_rate,entropy
baseline,AB,0.0,0,5,0.0,0.0
baseline,AB,5000.0,5000,5,0.2,0.7219280948873623
baseline,AB,10000.0,10000,5,0.6,0.9709505944546686
baseline,AB,25000.0,25000,5,0.4,0.9709505944546686
baseline,AB,75000.0,75000,5,1.0,0.0
baseline,AB,125000.0,125000,5,1.0,0.0
baseline,AB,200000.0,200000,5,1.0,0.0
constitution,AB,0.0,0,5,0.0,0.0
constitution,AB,5000.0,5000,5,0.2,0.7219280948873623
constitution,AB,10000.0,10000,5,0.8,0.7219280948873623
constitution,AB,25000.0,25000,5,1.0,0.0
constitution,AB,75000.0,75000,5,1.0,0.0
constitution,AB,125000.0,125000,5,1.0,0.0
constitution,AB,200000.0,200000,5,1.0,0.0
placebo,AB,0.0,0,5,0.0,0.0
placebo,AB,5000.0,5000,5,0.2,0.7219280948873623
placebo,AB,10000.0,10000,5,0.6,0.9709505944546686
placebo,AB,25000.0,25000,5,1.0,0.0
placebo,AB,75000.0,75000,5,1.0,0.0
placebo,AB,125000.0,125000,5,1.0,0.0
placebo,AB,200000.0,200000,5,1.0,0.0
reflection,AB,0.0,0,5,0.0,0.0
reflection,AB,5000.0,5000,5,0.0,0.0
reflection,AB,10000.0,10000,5,0.4,0.9709505944546686
reflection,AB,25000.0,25000,5,0.6,0.9709505944546686
reflection,AB,75000.0,75000,5,1.0,0.0
reflection,AB,125000.0,125000,5,1.0,0.0
reflection,AB,200000.0,200000,5,1.0,0.0
baseline,pooled,0.0,0,5,0.0,0.0
baseline,pooled,5000.0,5000,5,0.2,0.7219280948873623
baseline,pooled,10000.0,10000,5,0.6,0.9709505944546686
baseline,pooled,25000.0,25000,5,0.4,0.9709505944546686
baseline,pooled,75000.0,75000,5,1.0,0.0
baseline,pooled,125000.0,125000,5,1.0,0.0
baseline,pooled,200000.0,200000,5,1.0,0.0
constitution,pooled,0.0,0,5,0.0,0.0
constitution,pooled,5000.0,5000,5,0.2,0.7219280948873623
constitution,pooled,10000.0,10000,5,0.8,0.7219280948873623
constitution,pooled,25000.0,25000,5,1.0,0.0
constitution,pooled,75000.0,75000,5,1.0,0.0
constitution,pooled,125000.0,125000,5,1.0,0.0
constitution,pooled,200000.0,200000,5,1.0,0.0
placebo,pooled,0.0,0,5,0.0,0.0
placebo,pooled,5000.0,5000,5,0.2,0.7219280948873623
placebo,pooled,10000.0,10000,5,0.6,0.9709505944546686
placebo,pooled,25000.0,25000,5,1.0,0.0
placebo,pooled,75000.0,75000,5,1.0,0.0
placebo,pooled,125000.0,125000,5,1.0,0.0
placebo,pooled,200000.0,200000,5,1.0,0.0
reflection,pooled,0.0,0,5,0.0,0.0
reflection,pooled,5000.0,5000,5,0.0,0.0
reflection,pooled,10000.0,10000,5,0.4,0.9709505944546686
reflection,pooled,25000.0,25000,5,0.6,0.9709505944546686
reflection,pooled,75000.0,75000,5,1.0,0.0
reflection,pooled,125000.0,125000,5,1.0,0.0
reflection,pooled,200000.0,200000,5,1.0,0.0
